"Low","High","pred"
2932.18455686642,3080.62229500374,1
1888.41812113806,1801.59429388456,1
2079.86111008143,2075.91997985732,1
2035.48865326649,1914.99737399909,1
2424.39579181706,2374.49300791132,1
2471.30461922071,2014.39779562488,1
2152.16474247981,1990.17509813252,1
3338.10002788954,3304.88247957531,1
2542.46141158779,2479.25230071226,1
2642.52787806492,2716.83113454806,1
1658.85086416736,1346.07385029618,1
2772.47959232565,2970.2804430117,1
3027.93205453981,3108.94925547046,1
2376.39171553073,2415.48823519324,1
2474.0164267846,2431.96293557281,1
2091.385254091,2220.5028076926,1
1879.13940615033,1853.78534147106,1
2345.19358818201,2318.41261080723,1
2756.526409372,3173.28412759316,1
2031.65757511323,1990.32547526404,1
2056.32221418617,2051.94248248933,1
2680.45853711649,2323.92750119261,1
2062.84024768705,1902.11753383497,1
2742.31802724049,2553.43001421066,1
1753.57391424425,1451.18590376358,1
2711.19989099192,2833.00408596342,1
1791.32704197715,1647.5088554182,1
2091.28061840197,1677.80492760519,1
2068.30333929642,2110.53815332851,1
2706.65995139789,2433.37377061124,1
2543.11158640943,2315.33592790984,1
2135.49684837928,2165.72902519271,1
2012.64588126275,1630.92659449654,1
2063.96912334518,2042.01651753303,1
2280.43536173408,1953.79312132906,1
2626.63881618173,2459.17334267584,1
2255.84465642776,2390.32066594972,1
1486.83352595831,1217.58246787903,1
2454.28083197326,2064.34967915047,1
1683.44198472847,1561.5739124529,1
1801.31733563131,1520.50809151221,1
2174.68211563163,1867.18335895325,1
3005.33782276831,2957.55077235171,1
2774.93346221594,2948.39486505357,1
2033.11143436849,1885.25937086654,1
2483.20930096606,2450.63085094341,1
2670.89159778755,2544.14210940895,1
1600.94859999406,1647.72982620849,1
2700.151107711,2563.96333739917,1
2297.83070453074,2540.74065054184,1
2763.29883281123,2708.62281622674,1
2168.02915977413,2081.7847060561,1
2386.34211744851,2263.16952491221,1
3096.35239475413,2990.19043666125,1
2466.80498661786,2292.11303342511,1
1902.04629922452,1677.19464451993,1
2996.51608888127,2923.75466294211,1
2125.23023742356,1891.74983492548,1
2552.18791786222,2360.30947799607,1
2141.53638867106,2038.10252342656,1
1505.88511154516,1602.29929502157,1
2721.00889796476,2214.92902306069,1
1936.27829288119,2170.62465030625,1
3403.24735900505,2963.87540450424,1
2489.49404138221,2027.40336833164,1
1983.81891547852,1685.08382895025,1
2191.85335515754,2161.49297234218,1
2366.36737984632,2069.66239362831,1
1971.45746025988,1660.85173401651,1
2800.27897803292,2890.64882771791,1
2857.24890037689,2799.43792953068,1
2634.64161848766,2574.84942125413,1
2683.09954339421,2345.60756313535,1
2424.25481212691,2560.76426206699,1
2247.28650229305,2022.45281196162,1
2121.83462826257,1817.30206908644,1
2419.42017560337,1798.62475627446,1
2108.05335581893,2370.9626840211,1
2535.71614233571,2234.17985970202,1
1715.79655717726,1740.84237493768,1
2340.70273013834,1924.86485996366,1
2858.03399755516,2570.74515827977,1
2162.37600692426,2053.55277620963,1
2078.14325581905,1863.03022205593,1
1799.04788490279,2135.72744230784,1
2520.67399673036,2488.96355983919,1
2584.14983790818,2490.91742441196,1
2806.95344599883,2739.83619072296,1
2030.38145480403,1832.17879804015,1
2952.87066550765,2873.30590657946,1
2541.6025882703,2535.81432350591,1
2759.41867310762,2777.86835298309,1
2516.24475015888,2510.53626886724,1
1781.0025749119,2038.71008928616,1
2484.26131800451,2316.13961234346,1
2938.5430234218,2829.52556084922,1
2609.09664398881,2506.0057267146,1
2968.078435392,2598.29913623527,1
2503.93864145152,2696.90568612362,1
2056.20546383011,1752.23431381628,1
3231.1688245786,3072.29116899283,1
1876.60867764035,1601.28069713118,1
1921.0270835252,1666.02639365728,1
3071.15997329433,2618.67550842688,1
2911.26202266001,2912.27667562984,1
2021.3235029792,1748.73448422106,1
2185.39651787405,2074.41077409079,1
2878.10710588545,3102.43122196958,1
2093.72863858614,2103.42800874292,1
2752.56646619565,3191.89377159943,1
3079.85284215827,2595.75316057779,1
2284.0947582748,2020.18294597831,1
1584.28049826613,1497.26994987999,1
2269.2240866546,1807.23491681259,1
1859.88543702855,1566.23311200125,1
2603.69203137117,2610.44609325193,1
2226.40406745041,2205.43894235145,1
1881.25597014906,1993.84075963416,1
2395.74050764536,2286.93231645083,1
2032.27119830635,2229.36443331602,1
3007.97862141864,2653.21703090577,1
2421.89597285687,2492.55549520159,1
2273.48185924094,2253.39393708743,1
2086.48043916348,2040.51963406094,1
2391.636244671,2063.53993738333,1
1694.16536915748,1423.55214233533,1
2148.26933562871,2200.15087246248,1
2905.24065436879,2675.41861027444,1
2420.86526029944,2364.82164052076,1
2281.45082714401,2222.2572135835,1
1929.20490755152,2068.25782355081,1
1700.61635673484,1958.14299968259,1
